Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""ESO/Page_Home/Search Bar/a_Character suggestion""))",Chrome 120.0.0.0,,,31-01-2024 22:49:38,31-01-2024 22:49:41,2.715s,PASSED
"callTestCase(findTestCase(""ESO/Age Valitadion/A002 - Valid Age""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:49:41,31-01-2024 22:49:45,3.996s,PASSED
"verifyTextPresent(Character_Name.toUpperCase(), false)",Chrome 120.0.0.0,,,31-01-2024 22:49:45,31-01-2024 22:49:45,0.333s,PASSED
"verifyTextPresent(""MEET THE CHARACTER"", false)",Chrome 120.0.0.0,,,31-01-2024 22:49:45,31-01-2024 22:49:46,0.332s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:49:46,31-01-2024 22:49:47,1.148s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Characters,Chrome 120.0.0.0,Test Case to search for characters in game,Data-Driven,31-01-2024 22:49:47,31-01-2024 22:50:05,17.927s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Companions""), false)",Chrome 120.0.0.0,,,31-01-2024 22:49:47,31-01-2024 22:49:47,0.013s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:49:47,31-01-2024 22:49:54,7.045s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:49:54,31-01-2024 22:49:55,1.170s,PASSED
"setText(findTestObject(""ESO/Page_Home/Search Bar/inputsearchBox""), Character_Name)",Chrome 120.0.0.0,,,31-01-2024 22:49:55,31-01-2024 22:49:56,0.669s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:49:56,31-01-2024 22:49:57,1.011s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Search Bar/div_Character suggestion""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:49:57,31-01-2024 22:49:57,0.282s,PASSED
"click(findTestObject(""ESO/Page_Home/Search Bar/a_Character suggestion""))",Chrome 120.0.0.0,,,31-01-2024 22:49:57,31-01-2024 22:50:00,2.688s,PASSED
"callTestCase(findTestCase(""ESO/Age Valitadion/A002 - Valid Age""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:50:00,31-01-2024 22:50:04,4.142s,PASSED
"verifyTextPresent(Character_Name.toUpperCase(), false)",Chrome 120.0.0.0,,,31-01-2024 22:50:04,31-01-2024 22:50:04,0.344s,PASSED
"verifyTextPresent(""MEET THE CHARACTER"", false)",Chrome 120.0.0.0,,,31-01-2024 22:50:04,31-01-2024 22:50:05,0.331s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,31-01-2024 22:50:05,31-01-2024 22:50:05,0.222s,PASSED
,,,,,,,
Test Cases/Data-Driven/DD002 - Meet the Characters,Chrome 120.0.0.0,Test Case to search for characters in game,Data-Driven,31-01-2024 22:50:05,31-01-2024 22:50:21,16.743s,PASSED
"verifyCheckpoint(findCheckpoint(""Checkpoints/Companions""), false)",Chrome 120.0.0.0,,,31-01-2024 22:50:05,31-01-2024 22:50:05,0.013s,PASSED
"callTestCase(findTestCase(""ESO/Misc Tests/Open ESO Page""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,31-01-2024 22:50:05,31-01-2024 22:50:11,6.416s,PASSED
helpers.Misc.OpenSearchBar(),Chrome 120.0.0.0,,,31-01-2024 22:50:11,31-01-2024 22:50:12,1.271s,PASSED
"setText(findTestObject(""ESO/Page_Home/Search Bar/inputsearchBox""), Character_Name)",Chrome 120.0.0.0,,,31-01-2024 22:50:12,31-01-2024 22:50:13,0.675s,PASSED
delay(1),Chrome 120.0.0.0,,,31-01-2024 22:50:13,31-01-2024 22:50:14,1.005s,PASSED
"verifyElementPresent(findTestObject(""ESO/Page_Home/Search Bar/div_Character suggestion""), 0)",Chrome 120.0.0.0,,,31-01-2024 22:50:14,31-01-2024 22:50:14,0.262s,PASSED
"click(findTestObject(""ESO/Page_Home/Search Bar/a_Character suggestion""))",Chrome 120.0.0.0,,,31-01-2024 22:50:14,31-01-2024 22:50:17,2.183s,PASSED
